run_id,query_id,start_time,end_time,elapsed_time,row_count,error
100000_single_user_query_1,1,1669486826.0088,1669486873.3938,47.385,3629,False
100000_single_user_query_2,2,1669486873.4201,1669486904.3488,30.9287,1,False
100000_single_user_query_3,3,1669486904.352,1669486974.6462,70.2942,10,False
100000_single_user_query_4,4,1669486974.6491,1669487002.7987,28.1496,10,False
100000_single_user_query_5,5,1669487002.8037,1669487027.9672,25.1636,10,False
100000_single_user_query_6,6,1669487074.4769,1669487074.4769,0.0,0,True
