run_id,query_id,start_time,end_time,elapsed_time,row_count,error
10000_single_user_query_1,1,1669485951.8828,1669485953.3571,1.4743,3771,False
10000_single_user_query_2,2,1669485953.364,1669485953.6695,0.3055,1,False
10000_single_user_query_3,3,1669485953.6708,1669485955.7214,2.0506,10,False
10000_single_user_query_4,4,1669485955.7226,1669485956.2859,0.5633,10,False
10000_single_user_query_5,5,1669485956.2871,1669485956.6416,0.3546,10,False
10000_single_user_query_6,6,1669485957.7024,1669485957.7024,0.0,0,True
